,MSE,RMSE,MAE,R2,MAPE,Directional_Accuracy
XGBoost,406.2261224574345,20.155052033111563,11.079807783625215,0.9457283818413692,3.499500918242096,86.0236220472441
MA_Baseline,770.8581552408513,27.764332429231057,20.54438715936627,0.8970137144243311,7.252857052627955,58.46456692913385
LSTM,1719.4799865619477,41.466612914029376,30.449411710742975,0.7742018957375597,9.973489669441587,50.0
Transformer,2712.191144049396,52.0787014435786,35.57627911634848,0.6438413802371585,10.83910517836438,53.62903225806451
GRU,5680.150911956133,75.36677591589104,59.923302878796214,0.2540958209064569,18.425133956001357,49.596774193548384
